,geo_name,geo_lat,geo_lon
1500,,,
1501,,,
1502,,,
1503,,,
1504,,,
1505,,,
1506,White Nile,13.5,32.4
1507,,,
1508,,,
1509,,,
1510,,,
1511,,,
1512,,,
1513,,,
1514,,,
1515,,,
1516,,,
1517,,,
1518,,,
1519,,,
1520,,,
1521,,,
1522,,,
1523,,,
1524,,,
1525,,,
1526,,,
1527,,,
1528,,,
1529,,,
1530,,,
1531,,,
1532,,,
1533,,,
1534,,,
1535,,,
1536,,,
1537,,,
1538,,,
1539,,,
1540,,,
1541,,,
1542,,,
1543,Jadder Cemetery,15.467,44.17787
1544,,,
1545,,,
1546,,,
1547,,,
1548,,,
1549,,,
1550,,,
1551,,,
1552,,,
1553,,,
1554,,,
1555,,,
1556,,,
1557,,,
1558,,,
1559,,,
1560,,,
1561,,,
1562,,,
1563,,,
1564,,,
1565,,,
1566,,,
1567,,,
1568,,,
1569,,,
1570,,,
1571,,,
1572,,,
1573,,,
1574,,,
1575,,,
1576,,,
1577,,,
1578,,,
1579,,,
1580,,,
1581,,,
1582,,,
1583,,,
1584,,,
1585,,,
1586,,,
1587,,,
1588,,,
1589,,,
1590,North Attleboro,41.98343,-71.33283
1591,,,
1592,,,
1593,,,
1594,,,
1595,,,
1596,,,
1597,,,
1598,,,
1599,,,
1600,,,
1601,,,
1602,,,
1603,,,
1604,,,
1605,,,
1606,,,
1607,,,
1608,,,
1609,Macy's Plaza Shopping Center,34.04833,-118.25861
1610,,,
1611,,,
1612,,,
1613,,,
1614,,,
1615,,,
1616,Wachusett Mountain State Reservation,42.49176,-71.89119
1617,,,
1618,,,
1619,,,
1620,,,
1621,,,
1622,,,
1623,El Rey (San Ramón),21.60139,-97.65361
1624,,,
1625,,,
1626,,,
1627,,,
1628,,,
1629,,,
1630,,,
1631,,,
1632,,,
1633,,,
1634,,,
1635,,,
1636,,,
1637,,,
1638,,,
1639,,,
1640,,,
1641,,,
1642,,,
1643,,,
1644,,,
1645,,,
1646,,,
1647,,,
1648,,,
1649,Washington,47.50012,-120.50147
1650,,,
1651,,,
1652,,,
1653,Woods County,36.76694,-98.86512
1654,,,
1655,,,
1656,,,
1657,,,
1658,,,
1659,,,
1660,,,
1661,Penny Road Church of the Nazarene,35.70468,-78.74668
1662,,,
1663,,,
1664,,,
1665,,,
1666,,,
1667,,,
1668,,,
1669,,,
1670,,,
1671,,,
1672,,,
1673,,,
1674,Cape Cod Airfield,41.68531,-70.40665
1675,Windsor County,43.58,-72.58624
1676,,,
1677,,,
1678,,,
1679,,,
1680,,,
1681,,,
1682,Municipio de San Gabriel,14.50664,-91.51319
1683,,,
1684,,,
1685,Salinas River,36.7494,-121.80356
1686,,,
1687,,,
1688,,,
1689,,,
1690,,,
1691,,,
1692,Alaska,64.00028,-150.00028
1693,,,
1694,,,
1695,,,
1696,,,
1697,,,
1698,,,
1699,,,
1700,,,
1701,,,
1702,,,
1703,,,
1704,,,
1705,,,
1706,,,
1707,,,
1708,Newport Harbor Light,41.49332,-71.32705
1709,Morrison Canyon,47.1254,-120.78258
1710,,,
1711,,,
1712,,,
1713,,,
1714,,,
1715,,,
1716,,,
1717,Springfield,39.80172,-89.64371
1718,,,
1719,,,
1720,,,
1721,,,
1722,,,
1723,,,
1724,,,
1725,,,
1726,,,
1727,,,
1728,,,
1729,,,
1730,,,
1731,,,
1732,,,
1733,,,
1734,,,
1735,,,
1736,,,
1737,,,
1738,Estate East Street,17.74386,-64.69403
1739,,,
1740,,,
1741,,,
1742,,,
1743,,,
